EJER;CCAA;PROV;SEXO;MODELO;M190_P1;M190_P2;M190_P3
2020;12;36;2;190;138596;1529441715,6500000;126249,9999900
2020;12;36;1;190;131814;2042096603,5000000;120357,9999900
2020;5;35;2;190;104744;1234336220,3000000;97069,0000000
2020;5;35;1;190;109925;1674837339,2900000;101171,0000000
2020;7;34;1;190;28053;443802092,5000000;24227,0000000
2020;7;34;2;190;23558;279110127,3500000;21149,0000000
2020;3;33;2;190;164793;2134058997,2700000;146270,0000000
2020;3;33;1;190;189647;3643270894,0200000;157077,0000000
2020;12;32;2;190;58902;604924731,9900000;54618,0000000
2020;12;32;1;190;54613;705102742,3600000;50211,0000000
2020;14;30;2;190;141653;1595202268,4000000;130874,0000000
2020;14;30;1;190;149872;2277237648,0500000;136692,0000000
2020;1;29;2;190;160055;1839153955,0700000;148179,0000000
2020;1;29;1;190;161206;2453586696,4400000;147384,0000000
2020;13;28;2;190;744701;10476196370,6700000;653208,0000000
2020;13;28;1;190;736373;14227634488,9000000;626873,0000000
2020;12;27;2;190;61767;668162816,5200000;56949,0000000
2020;12;27;1;190;57880;793685912,5500000;53140,0000000
2020;17;26;2;190;39586;471302313,2400000;35202,0000000
2020;17;26;1;190;43021;686724128,5700000;37816,0000000
2020;9;25;1;190;57995;826735001,5700000;48908,0000000
2020;9;25;2;190;60681;653135389,6200000;50121,0000000
2020;7;24;2;190;74527;907515209,0800000;67977,0000000
2020;7;24;1;190;82318;1401558904,5800000;73750,0000000
2020;1;23;1;190;82756;1139032552,0900000;76666,0000000
2020;1;23;2;190;78284;837157373,6800000;73578,0000000
2020;2;22;1;190;32740;515920715,0000000;29097,0000000
2020;2;22;2;190;29777;352148838,8100000;26594,0000000
2020;1;21;1;190;59450;906982670,9100000;54391,0000000
2020;1;21;2;190;54546;603407150,7800000;50786,0000000
2020;8;19;2;190;23093;277752291,2800000;20915,0000000
2020;8;19;1;190;29547;484907545,0900000;25902,0000000
2020;1;18;2;190;109168;1273953888,0400000;100839,0000000
2020;1;18;1;190;106100;1574385614,3300000;97156,0000000
2020;9;17;2;190;94533;1108152503,9600000;80227,0000000
2020;9;17;1;190;89312;1378865688,0300000;75728,0000000
2020;8;16;2;190;24212;254674582,8400000;22348,0000000
2020;8;16;1;190;29811;392262130,0800000;27360,0000000
2020;12;15;2;190;175139;1972301464,8400000;158151,0000000
2020;12;15;1;190;169054;2615434409,1200000;149763,9999900
2020;1;14;2;190;97158;1080155831,7300000;90902,0000100
2020;1;14;1;190;93664;1367895523,4800000;86642,0000000
2020;8;13;2;190;52603;577919401,7800000;48659,0000000
2020;8;13;1;190;66491;963557894,0900000;60990,0000000
2020;10;12;2;190;71140;808633792,9400000;65177,0000000
2020;10;12;1;190;72363;1141205587,5000000;65870,0000000
2020;1;11;1;190;150523;2423314945,5100000;136064,0000000
2020;1;11;2;190;125125;1466306388,7900000;116375,0000000
2020;11;10;2;190;55468;576093918,8600000;48790,0000000
